ACSSF,2010m5,ar,001,0005,0000070,208,216,195,1115,636,665,964,554,646,591,442,305,310,175,212,95,76,39,208,1115,1090,686,686,119,943,740,663,591,310,20,74,218,200,95,23,119,94,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000071,55,49,41,240,146,140,191,97,118,111,78,51,93,67,30,7,7,119,55,240,234,171,171,119,167,120,145,111,93,16,52,78,119,7,119,119,7,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000072,529,400,421,2494,1387,1578,2002,1201,1308,1184,828,614,1156,655,670,473,303,287,529,2494,2397,1924,1924,119,2093,1386,1524,1184,1156,331,410,972,346,473,119,119,473,529,2494,2397,2108,1818,1332,1180,849,821,611,535,473
ACSSF,2010m5,ar,001,0005,0000073,80,80,100,511,292,343,396,189,283,288,103,228,142,77,85,20,119,20,80,511,503,215,215,119,467,329,321,288,142,15,82,116,33,20,119,16,13,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000074,107,148,134,681,344,426,591,261,390,269,125,186,190,175,37,45,45,119,107,681,673,432,432,119,514,360,301,269,190,119,119,133,45,45,119,119,45,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000075,260,238,212,1191,786,744,936,526,601,677,455,412,485,252,282,103,58,64,260,1191,1153,463,465,69,1087,786,822,668,485,87,330,305,242,103,119,119,103,260,1191,1153,1052,507,1099,541,327,373,328,243,103
ACSSF,2010m5,ar,001,0005,0000076,86,105,139,464,212,312,357,164,211,132,56,98,215,109,118,113,66,47,86,464,443,220,220,119,388,285,255,132,215,119,13,138,143,113,119,119,113,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000077,32,50,52,270,114,190,199,77,156,202,97,126,30,26,12,119,119,119,32,270,272,78,78,119,256,181,201,202,30,119,119,24,16,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000078,269,269,221,1586,973,846,1322,830,679,588,344,349,741,436,416,157,123,101,269,1586,1570,1029,1029,119,1368,854,875,588,741,92,195,616,358,157,33,119,160,269,1586,1570,1526,1096,993,632,474,368,240,415,157
ACSSF,2010m5,ar,001,0005,0000079,142,193,176,700,395,432,536,331,264,351,129,231,361,183,236,128,102,81,142,700,687,499,499,119,597,226,501,351,361,119,119,353,51,128,119,119,128,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000080,60,100,106,467,291,249,329,175,195,279,211,112,172,85,124,119,119,119,60,467,455,230,208,82,390,253,314,268,172,119,54,124,103,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000081,72,62,70,369,199,249,333,149,220,215,96,142,214,148,85,119,119,119,72,369,349,119,119,119,314,301,301,215,214,119,40,183,91,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000082,120,130,121,704,420,430,601,366,423,179,103,121,308,169,185,20,16,12,120,704,698,447,447,119,569,427,378,179,308,119,68,287,96,20,119,119,20,119,119,119,119,119,119,119,119,119,119,119,119
