GEO_ID,COUNTY,TOTAL,TOTALurban,TOTALinsideurbanizedareas,TOTALurbanclusters,TOTALrural,STATE
41015,Curry,22364,13702,0,13702,8662,Oregon
34003,Bergen,905116,904197,904197,0,919,NewJersey
21173,Montgomery,26499,10835,0,10835,15664,Kentucky
51580,Covington city,5961,5961,0,5961,0,Virginia
13309,Wheeler,7421,0,0,0,7421,Georgia
28091,Marion,27088,7294,0,7294,19794,Mississippi
18075,Jay,21253,9425,0,9425,11828,Indiana
51087,Henrico,306935,293832,293832,0,13103,Virginia
13029,Bryan,30233,14408,9240,5168,15825,Georgia
48027,Bell,310235,263122,262421,701,47113,Texas
37145,Person,39464,9660,0,9660,29804,NorthCarolina
37099,Jackson,40271,10837,0,10837,29434,NorthCarolina
6045,Mendocino,87841,48110,0,48110,39731,California
28157,Wilkinson,9878,0,0,0,9878,Mississippi
53021,Franklin,78163,67741,63665,4076,10422,Washington
29003,Andrew,17291,6695,1557,5138,10596,Missouri
51720,Norton city,3958,3856,0,3856,102,Virginia
48179,Gray,22535,18166,0,18166,4369,Texas
48095,Concho,4087,0,0,0,4087,Texas
21071,Floyd,39451,6363,0,6363,33088,Kentucky
25011,Franklin,71372,32523,0,32523,38849,Massachusetts
6025,Imperial,174528,144129,108683,35446,30399,California
1045,Dale,50251,24679,2561,22118,25572,Alabama
13033,Burke,23316,5830,0,5830,17486,Georgia
6021,Glenn,28122,16628,0,16628,11494,California
22071,Orleans Parish,343829,341794,341794,0,2035,Louisiana
48037,Bowie,92565,59774,52090,7684,32791,Texas
30055,McCone,1734,0,0,0,1734,Montana
1061,Geneva,26790,2775,121,2654,24015,Alabama
1079,Lawrence,34339,2991,72,2919,31348,Alabama
29189,St. Louis,998954,987586,976323,11263,11368,Missouri
21141,Logan,26835,6714,0,6714,20121,Kentucky
54013,Calhoun,7627,0,0,0,7627,WestVirginia
38081,Sargent,3829,0,0,0,3829,NorthDakota
27017,Carlton,35386,15865,0,15865,19521,Minnesota
22043,Grant Parish,22309,3214,3214,0,19095,Louisiana
12105,Polk,602095,520749,463462,57287,81346,Florida
5015,Carroll,27446,7456,0,7456,19990,Arkansas
41005,Clackamas,375992,308018,264717,43301,67974,Oregon
22005,Ascension Parish,107215,93045,83862,9183,14170,Louisiana
16049,Idaho,16267,3150,0,3150,13117,Idaho
8003,Alamosa,15445,9751,0,9751,5694,Colorado
